ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000505,SIDM00353,1298539.0,RKN,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,RKN_SOFT_TISSUE
ACH-000506,SIDM00698,910899.0,NCI-H146,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH146_LUNG
ACH-000508,SIDM00506,906808.0,COR-L88,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CORL88_LUNG
ACH-000510,SIDM00649,724831.0,NCI-H1299,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1299_LUNG
ACH-000514,SIDM00653,687997.0,NCI-H1092,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1092_LUNG
ACH-000515,SIDM01071,1303901.0,HCC-33,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,HCC33_LUNG
ACH-000516,SIDM00929,1290765.0,CAL-78,Bone,Chondrosarcoma,Dedifferentiated Chondrosarcoma,CAL78_BONE
ACH-000518,SIDM00942,753541.0,CAL-33,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,CAL33_UPPER_AERODIGESTIVE_TRACT
ACH-000521,SIDM00715,722045.0,NCI-H2030,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2030_LUNG
ACH-000522,SIDM01182,724838.0,UM-UC-3,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC3_URINARY_TRACT
ACH-000524,SIDM00554,909975.0,KURAMOCHI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,KURAMOCHI_OVARY
ACH-000525,SIDM00733,688015.0,NCI-H2171,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2171_LUNG
ACH-000527,SIDM00564,1240198.0,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,OVISE_OVARY
ACH-000528,SIDM00494,906791.0,ABC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ABC1_LUNG
ACH-000530,SIDM00865,687983.0,DMS 114,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,DMS114_LUNG
ACH-000532,SIDM00194,1660035.0,SNU-61,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SNU61_LARGE_INTESTINE
ACH-000534,SIDM00413,1331050.0,WSU-DLCL2,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000535,SIDM00132,906693.0,BxPC-3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,BXPC3_PANCREAS
ACH-000536,SIDM00893,906801.0,BT-20,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BT20_BREAST
ACH-000538,SIDM00694,907073.0,HUTU80,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,HUTU80_SMALL_INTESTINE
ACH-000544,SIDM00478,1298359.0,OE21,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,OE21_OESOPHAGUS
ACH-000546,SIDM00588,907062.0,HSC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC4_UPPER_AERODIGESTIVE_TRACT
ACH-000547,SIDM00676,907065.0,HT-1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,HT1197_URINARY_TRACT
ACH-000548,SIDM00986,753535.0,BHY,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BHY_UPPER_AERODIGESTIVE_TRACT
ACH-000551,SIDM00791,905940.0,K-562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000552,SIDM00136,905939.0,HT-29,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT29_LARGE_INTESTINE
ACH-000554,SIDM01186,909778.0,UACC-893,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,UACC893_BREAST
ACH-000555,SIDM00124,905948.0,A-498,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,A498_KIDNEY
