ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName,selected_phenotype
ACH-000615,SIDM00081,905954.0,SK-MEL-28,Skin,Melanoma,Cutaneous Melanoma,SKMEL28_SKIN,2.6896408
ACH-000616,SIDM00665,1240151.0,Hs 746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,HS746T_STOMACH,3.3446128
ACH-000617,SIDM00092,905990.0,OVCAR-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVCAR4_OVARY,3.7031024
ACH-000619,SIDM00473,1240207.0,PE/CA-PJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,PECAPJ15_UPPER_AERODIGESTIVE_TRACT,2.8595033
ACH-000620,SIDM00618,1298151.0,JHH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH1_LIVER,3.2943249
ACH-000621,SIDM00529,925338.0,MDA-MB-157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,MDAMB157_BREAST,3.210005
ACH-000622,SIDM00607,907282.0,KNS-42,CNS/Brain,Diffuse Glioma,Glioblastoma,KNS42_CENTRAL_NERVOUS_SYSTEM,3.7687776
ACH-000624,SIDM00875,907047.0,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC1806_BREAST,2.3270202
ACH-000625,SIDM00672,1240147.0,Hep 3B2.1-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HEP3B217_LIVER,1.8539603
ACH-000626,SIDM00417,753615.0,U266B1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.1102529
ACH-000627,SIDM00345,753586.0,LCLC-103H,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC103H_LUNG,3.1962345
ACH-000628,SIDM01127,908459.0,NCI-H596,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NCIH596_LUNG,3.525531
ACH-000631,SIDM00555,907313.0,KS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,KS1_CENTRAL_NERVOUS_SYSTEM,2.9988484
ACH-000633,SIDM00503,1290806.0,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,FU97_STOMACH,2.9451041
ACH-000636,SIDM00403,909702.0,RPMI-8402,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.89857584
ACH-000637,SIDM01025,753575.0,KYSE-520,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE520_OESOPHAGUS,4.0256476
ACH-000638,SIDM00925,908460.0,NCI-H441,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH441_LUNG,5.333321
ACH-000639,SIDM00704,1240189.0,NCI-H211,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH211_LUNG,1.707215
ACH-000640,SIDM01104,909727.0,SK-MEL-31,Skin,Melanoma,Cutaneous Melanoma,SKMEL31_SKIN,3.3389556
ACH-000643,SIDM01062,1290922.0,HDQ-P1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HDQP1_BREAST,2.9103308
ACH-000644,SIDM00909,687448.0,COLO 829,Skin,Melanoma,Cutaneous Melanoma,COLO829_SKIN,4.3184133
ACH-000647,SIDM00369,753621.0,TE-1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE1_OESOPHAGUS,3.3853645
ACH-000648,SIDM00720,908470.0,NCI-H28,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",NCIH28_PLEURA,4.641273
ACH-000649,SIDM00125,905947.0,786-O,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,786O_KIDNEY,2.6630285
ACH-000650,SIDM01066,1240153.0,IGR-37,Skin,Melanoma,Melanoma,IGR37_SKIN,2.6010454
ACH-000651,SIDM00841,905962.0,SW 620,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW620_LARGE_INTESTINE,3.4913929
ACH-000652,SIDM00371,1240219.0,SUIT-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,SUIT2_PANCREAS,4.148524
ACH-000653,SIDM01036,1327766.0,JJN-3,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.152956
ACH-000654,SIDM00844,909262.0,Raji,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.062239
ACH-000655,SIDM00085,905986.0,SF268,CNS/Brain,Diffuse Glioma,Astrocytoma,SF268_CENTRAL_NERVOUS_SYSTEM,3.4578724
ACH-000656,SIDM00423,1331038.0,SU-DHL-8,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.1388187
ACH-000657,SIDM00210,906804.0,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,A2780_OVARY,1.6502361
ACH-000660,SIDM00406,1331036.0,SU-DHL-5,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.6994777
ACH-000662,SIDM00512,687780.0,COR-L23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,CORL23_LUNG,3.2363684
