ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName,selected_phenotype
ACH-000271,SIDM00389,1331033.0,SU-DHL-10,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.3564651
ACH-000273,SIDM00083,905984.0,SF539,CNS/Brain,Diffuse Glioma,Gliosarcoma,SF539_CENTRAL_NERVOUS_SYSTEM,2.179352
ACH-000276,SIDM00675,749717.0,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC38_BREAST,3.6393611
ACH-000277,SIDM00882,907045.0,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1419_BREAST,3.4958038
ACH-000281,SIDM00582,1298218.0,KP-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,KP2_PANCREAS,4.1614265
ACH-000287,SIDM00443,1330982.0,NU-DUL-1,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.9659542
ACH-000288,SIDM00122,905951.0,BT-549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BT549_BREAST,3.3885176
ACH-000290,SIDM00706,688013.0,NCI-H209,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH209_LUNG,2.0965514
ACH-000291,SIDM01141,1240197.0,OV-90,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OV90_OVARY,4.036783
ACH-000292,SIDM01134,1240192.0,NCI-H841,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,NCIH841_LUNG,3.0542002
ACH-000293,SIDM00686,924187.0,KLE,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,KLE_ENDOMETRIUM,4.2717414
ACH-000294,SIDM00428,1323913.0,NB-4,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.49182874
ACH-000295,SIDM01047,906855.0,EM-2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8091202
ACH-000298,SIDM00735,688011.0,NCI-H2029,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2029_LUNG,3.3110313
ACH-000301,SIDM00346,907783.0,LAMA-84,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.3826417
ACH-000303,SIDM01144,908445.0,SNU-5,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU5_STOMACH,2.4896352
ACH-000304,SIDM01000,909784.0,WM-115,Skin,Melanoma,Melanoma,WM115_SKIN,3.5194914
ACH-000305,SIDM00278,753555.0,EC-GI-10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ECGI10_OESOPHAGUS,2.3099968
ACH-000308,SIDM01052,911905.0,EFO-21,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,EFO21_OVARY,4.803641
ACH-000311,SIDM00702,722046.0,NCI-H2122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2122_LUNG,1.6946265
ACH-000315,SIDM01008,907274.0,KARPAS-422,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.3105264
ACH-000318,SIDM00349,753622.0,TE-10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE10_OESOPHAGUS,2.5854757
ACH-000319,SIDM00222,908150.0,MPP 89,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",MPP89_PLEURA,3.1372612
ACH-000320,SIDM00469,910546.0,PSN1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PSN1_PANCREAS,3.1487935
ACH-000322,SIDM00695,907067.0,HT-144,Skin,Melanoma,Melanoma,HT144_SKIN,2.5306613
ACH-000323,SIDM00982,687561.0,42-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,42MGBA_CENTRAL_NERVOUS_SYSTEM,2.4971948
ACH-000326,SIDM01015,1327771.0,JURL-MK1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.2864984
ACH-000330,SIDM01056,906851.0,EFM-19,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,EFM19_BREAST,3.2027173
ACH-000332,SIDM00411,909904.0,YAPC,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,YAPC_PANCREAS,4.5165033
ACH-000334,SIDM00886,906832.0,DB,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.040405
ACH-000335,SIDM00640,908152.0,MSTO-211H,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",MSTO211H_PLEURA,3.0984616
ACH-000336,SIDM00462,1290455.0,OCI-AML3,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4040992
ACH-000337,SIDM00137,1240190.0,NCI-H3122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH3122_LUNG,3.0393145
ACH-000338,SIDM00096,905965.0,SR-786,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.9893648
ACH-000341,SIDM01099,688087.0,SK-N-FI,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNFI_AUTONOMIC_GANGLIA,2.936894
ACH-000343,SIDM00116,905944.0,NCI-H522,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH522_LUNG,3.2264793
ACH-000345,SIDM00557,924189.0,KP-N-RT-BM-1,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,KPNRTBM1_AUTONOMIC_GANGLIA,2.550691
ACH-000346,SIDM01012,907270.0,JVM-3,Lymphoid,Mature B-Cell Neoplasms,B-Cell Prolymphocytic Leukemia,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.1195049
ACH-000347,SIDM00360,1298534.0,QGP-1,Pancreas,Pancreatic Neuroendocrine Tumor,Pancreatic Neuroendocrine Tumor,QGP1_PANCREAS,3.8395076
ACH-000348,SIDM01087,910903.0,RPMI-7951,Skin,Melanoma,Melanoma,RPMI7951_SKIN,2.117862
ACH-000349,SIDM00879,1303900.0,HCC1500,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC1500_BREAST,3.2910788
ACH-000350,SIDM00957,910689.0,COLO-678,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COLO678_LARGE_INTESTINE,5.657405
ACH-000351,SIDM00271,908138.0,MKN1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Adenosquamous Carcinoma of the Stomach,MKN1_STOMACH,3.073116
ACH-000352,SIDM00881,1290905.0,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,HCC1428_BREAST,4.627977
ACH-000353,SIDM00249,753614.0,TE-15,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE15_OESOPHAGUS,2.6967688
ACH-000354,SIDM00934,753624.0,Capan-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,CAPAN1_PANCREAS,3.4157522
ACH-000355,SIDM01131,688031.0,NCI-H82,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH82_LUNG,1.9873464
ACH-000356,SIDM00247,925340.0,MKN-45,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,MKN45_STOMACH,3.119058
ACH-000357,SIDM01038,1327765.0,JeKo-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4041934
ACH-000358,SIDM01121,688027.0,NCI-H69,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH69_LUNG,2.4738874
ACH-000359,SIDM00525,908131.0,MG-63,Bone,Osteosarcoma,Osteosarcoma,MG63_BONE,2.9570143
ACH-000360,SIDM00777,908442.0,NCI-H508,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,NCIH508_LARGE_INTESTINE,2.193245
ACH-000361,SIDM01110,909719.0,SK-HEP-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SKHEP1_LIVER,3.081722
ACH-000362,SIDM00437,1330947.0,MOLM-13,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.39219996
ACH-000363,SIDM00391,753612.0,SK-MM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.12244
ACH-000364,SIDM01191,909776.0,U-2 OS,Bone,Osteosarcoma,Osteosarcoma,U2OS_BONE,3.3703082
ACH-000365,SIDM00405,1331035.0,SU-DHL-4,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4442251
ACH-000366,SIDM01100,688086.0,SK-N-DZ,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNDZ_AUTONOMIC_GANGLIA,2.2885702
ACH-000367,SIDM00139,905941.0,NCI-H226,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",NCIH226_LUNG,5.307707
ACH-000369,SIDM00435,1330948.0,MOLM-16,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.1859163
ACH-000371,SIDM01089,910861.0,RL,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.5631758
ACH-000372,SIDM00463,909251.0,P12-ICHIKAWA,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.2832738
ACH-000373,SIDM00380,909722.0,SKM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.3184894
ACH-000374,SIDM00866,749710.0,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1143_BREAST,3.5292065
ACH-000375,SIDM00855,907298.0,G-402,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,G402_SOFT_TISSUE,2.3118353
ACH-000376,SIDM00084,905985.0,SF-295,CNS/Brain,Diffuse Glioma,Glioblastoma,SF295_CENTRAL_NERVOUS_SYSTEM,2.8252056
ACH-000378,SIDM01125,1240191.0,NCI-H647,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NCIH647_LUNG,2.286209
ACH-000379,SIDM00754,1298350.0,NCI-H1781,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1781_LUNG,3.0277827
ACH-000380,SIDM01020,907281.0,KMS-12-BM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.5060703
ACH-000381,SIDM00782,909761.0,T84,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,T84_LARGE_INTESTINE,3.2457786
ACH-000383,SIDM00477,910549.0,OE33,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,OE33_OESOPHAGUS,2.986132
ACH-000384,SIDM01160,687457.0,SW 780,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,SW780_URINARY_TRACT,3.5076592
ACH-000386,SIDM00785,907278.0,KG-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.4612126
ACH-000389,SIDM00852,907042.0,H4,CNS/Brain,Diffuse Glioma,Astrocytoma,H4_CENTRAL_NERVOUS_SYSTEM,1.9875683
ACH-000391,SIDM00386,908134.0,MHH-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,MHHES1_BONE,2.780175
ACH-000392,SIDM00922,687777.0,Calu-3,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CALU3_LUNG,3.7523096
ACH-000394,SIDM00710,908480.0,NCI-H2081,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2081_LUNG,2.7070475
ACH-000395,SIDM01130,908443.0,NCI-H520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH520_LUNG,3.0754776
ACH-000396,SIDM00693,753566.0,J82,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,J82_URINARY_TRACT,4.1168313
ACH-000399,SIDM00731,908481.0,NCI-H2196,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2196_LUNG,3.184446
ACH-000400,SIDM01096,909718.0,SK-CO-1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SKCO1_LARGE_INTESTINE,2.3757653
