File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
a5b6b2e9-159d-4772-8eba-e5812474b5dc	9fb02643-7edc-482c-a707-c128a6beffa3.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-DU-5872	TCGA-DU-5872-01A	Tumor	Primary	Solid Tissue	Unknown
a5ba0826-cb02-4247-815c-de4ea8c56180	a6b7927f-f3c4-467b-bc91-3a6fe7f86fc4.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AQ-A04J	TCGA-AQ-A04J-01A	Tumor	Primary	Solid Tissue	Unknown
a5c20dde-ba99-4ad2-ab84-45997c9e010b	cfc139cc-1e7d-47b9-896f-1a646988f338.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUAD	TCGA-97-A4M6	TCGA-97-A4M6-01A	Tumor	Primary	Unknown	OCT
a5c601a9-407f-4e4d-928f-5a90ac522343	5d434813-a1c4-4524-9e6f-eefc0281ffd3.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PCPG	TCGA-QR-A6GO	TCGA-QR-A6GO-01A	Tumor	Primary	Solid Tissue	OCT
a5cae42e-c3fc-47ae-8566-2c16123b8912	fbcb11dc-fa90-4e51-83b5-86342b8fa290.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-ESCA	TCGA-V5-AASX	TCGA-V5-AASX-01A	Tumor	Primary	Solid Tissue	OCT
a5cbd66f-95e1-4a1c-874a-535c17fd2794	a16a6029-2405-4462-9cd1-6a363ebf7acb.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRP	TCGA-DZ-6134	TCGA-DZ-6134-01A	Tumor	Primary	Solid Tissue	Unknown
a5cfd390-d17a-4fb6-949e-061291aec73a	a4785391-0d0a-464c-b6d1-7eca4b3854f7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-WW-A8ZI	TCGA-WW-A8ZI-01A	Tumor	Primary	Solid Tissue	OCT
a5d2089e-8db9-4c04-9ac5-cf65b9a00e7d	1165b0a4-dc4e-4d15-9552-42bb9caf7b7e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-EL-A3H2	TCGA-EL-A3H2-01A	Tumor	Primary	Solid Tissue	Unknown
a5ec2604-ddb2-45ed-a66e-da2e80fa8958	ceb1e65a-a14d-4177-aadd-6fbf0b9155c0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A2-A4S2	TCGA-A2-A4S2-01A	Tumor	Primary	Solid Tissue	OCT
a5f4bba5-6042-491e-a4a6-010285762b3a	1619d3b3-f1f8-4c95-8ac0-9795b7908539.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-SKCM	TCGA-XV-A9W5	TCGA-XV-A9W5-01A	Tumor	Primary	Solid Tissue	OCT
